H|1402|892.18|
N|468|8681598|210172290|2|9|Ordinal|VALUE ADDED SERVICE|RARH|4.50|USD|2011-12-22 11:59:23|2011-12-22 11:59:23||ARARC||||||
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1579245|ALL CONFERENCING, 351213|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|351213||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210158814|||2011-11-14 19:04:00|MTN|2011-11-14 19:04:00|MTN||||||0|778855|8008999949|1160599|
N|468|8681598|210158814|1|13|Ordinal|VALUE ADDED SERVICE|RARH|6.50|USD|2011-11-14 19:04:00|2011-11-14 19:04:00||ARARC||||||
C|468|8681598|210158818|||2011-11-14 19:15:47|MTN|2011-11-14 19:15:47|MTN||||||0|778855|8008999949|1160599|
N|468|8681598|210158818|1|13|Ordinal|VALUE ADDED SERVICE|RARH|6.50|USD|2011-11-14 19:15:47|2011-11-14 19:15:47||ARARC||||||
C|468|8681598|210159103|||2011-11-03 18:08:48|MTN|2011-11-03 18:08:48|MTN||||||0|778855|8008999949|1160599|
N|468|8681598|210159103|2|2|Ordinal|VALUE ADDED SERVICE|RARH|1.00|USD|2011-11-03 18:08:48|2011-11-03 18:08:48||ARARC||||||
C|468|8681598|210159269|||2011-12-20 18:08:10|MTN|2011-12-20 18:08:10|MTN||||||0|778855|8008999949|1160599|
N|468|8681598|210159269|1|11|Ordinal|VALUE ADDED SERVICE|RARH|5.50|USD|2011-12-20 18:08:10|2011-12-20 18:08:10||ARARC||||||
C|468|8681598|210159597|||2011-12-07 18:08:48|MTN|2011-12-07 18:08:48|MTN||||||0|778855|8008999949|1160599|
N|468|8681598|210159597|1|24|Ordinal|VALUE ADDED SERVICE|RARH|12.00|USD|2011-12-07 18:08:48|2011-12-07 18:08:48||ARARC||||||
C|468|8681598|210203482|||2012-01-08 17:57:32|MTN|2012-01-08 19:23:27|MTN||||||0|778855|8008999949|1160599|
B|468|8681598|210203482|5|83|Minute|LONG DISTANCE|L8R|0.42|USD|2012-01-08 18:00:48|2012-01-08 19:23:07|MTN|OX2AS||3527484139|18008999949||ALL CONFERENCING|
N|468|8681598|210203482|6|83|Minute|PACKAGE SURCHARGE|RDYA|0.83|USD|2012-01-08 18:00:48|2012-01-08 19:23:07|MTN|OX2AS||3527484139|18008999949||ALL CONFERENCING|
